                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.89174,                0.50333,                 1.0001,                0.81172,                0.77884,                0.82349,                0.55638,                0.84738,                0.49482,                 1.0312,             0.00030808,             0.00030808,             0.00030808
                     75,                  0.882,                0.49654,                0.99545,                0.78961,                0.81464,                0.82526,                0.55661,                 0.8436,                0.49202,                 1.0306,             0.00029708,             0.00029708,             0.00029708
                     76,                 0.8886,                0.50794,                 1.0037,                0.79402,                0.81731,                0.83076,                   0.56,                0.84592,                0.48837,                 1.0313,             0.00028608,             0.00028608,             0.00028608
                     77,                0.88451,                0.50364,                 1.0017,                0.81755,                0.79552,                0.82559,                0.56081,                 0.8444,                0.48658,                 1.0314,             0.00027508,             0.00027508,             0.00027508
                     78,                0.89124,                0.50451,                 1.0032,                0.83463,                0.77118,                 0.8291,                0.56921,                0.84714,                0.49053,                 1.0327,             0.00026408,             0.00026408,             0.00026408
                     79,                0.88461,                0.49496,                0.99962,                0.80997,                0.79008,                0.83405,                0.56101,                0.83986,                0.48721,                 1.0286,             0.00025309,             0.00025309,             0.00025309
                     80,                0.88161,                0.49738,                0.99692,                0.80467,                0.80421,                0.82849,                0.55751,                0.83646,                0.48291,                 1.0265,             0.00024209,             0.00024209,             0.00024209
                     81,                0.87791,                0.49403,                0.99566,                0.80268,                0.79174,                0.83548,                  0.567,                0.83644,                0.47983,                 1.0273,             0.00023109,             0.00023109,             0.00023109
                     82,                0.87121,                0.49189,                 1.0007,                0.81017,                0.78259,                0.82951,                0.56586,                0.83515,                0.48198,                 1.0264,             0.00022009,             0.00022009,             0.00022009
                     83,                0.87699,                 0.4943,                  1.002,                0.83066,                0.76368,                0.82914,                0.56511,                0.83876,                0.48623,                 1.0284,             0.00020909,             0.00020909,             0.00020909
                     84,                0.87297,                0.49552,                0.99726,                0.82782,                0.78311,                 0.8313,                0.57299,                0.83613,                0.48121,                 1.0269,             0.00019809,             0.00019809,             0.00019809
